first_name,last_name,email,phone,department,job_title,experience_years,salary
Patrick,Hughes,patrickhughes274295@slingacademy.com,+1-124-853-7387x3710,Product,Web Developer,11,11500
Phillip,Herrera,phillipherrera275191@slingacademy.com,400-991-8270x7992,Product,Web Developer,5,9500
Gary,Houston,garyhouston276956@slingacademy.com,(487)936-5416x279,Product,Mobile Developer,10,10000
Olivia,Johnson,oliviajohnson277656@slingacademy.com,+1-219-520-1055x479,Product,Web Developer,4,8000
April,Houston,aprilhouston278529@slingacademy.com,001-825-098-6223x1127,Product,Web Developer,13,13500
Adriana,Martinez,adrianamartinez279348@slingacademy.com,910.407.8536x8933,Product,Web Developer,11,12500
Victoria,Peters,victoriapeters280664@slingacademy.com,599.847.1624x20379,Product,Web Developer,12,13000
Michael,Henderson,michaelhenderson281830@slingacademy.com,373-405-5460x036,Product,Web Developer,10,10000
Charles,West,charleswest282833@slingacademy.com,524-024-2894x074,Product,Web Developer,15,14500
Rebecca,Jackson,rebeccajackson283153@slingacademy.com,(112)301-1517,Product,Web Developer,2,8000
Alec,Maldonado,alecmaldonado284511@slingacademy.com,+1-484-025-5906,Product,Web Developer,12,11000
Michael,Edwards,michaeledwards285682@slingacademy.com,4055420736,Product,Web Developer,12,12000
John,Hall,johnhall286116@slingacademy.com,067.730.7206x26078,Product,Web Developer,13,11500
Kristin,Perry,kristinperry287743@slingacademy.com,275.822.1785x29297,Product,Web Developer,13,11500
Kevin,Norton,kevinnorton288890@slingacademy.com,911.635.9394x29045,Product,Web Developer,6,10000
Nancy,Soto,nancysoto289573@slingacademy.com,001-774-441-0174x8586,Product,Web Developer,10,11000
Michael,Howard,michaelhoward290834@slingacademy.com,6585788235,Product,Web Developer,11,10500
Johnny,Green,johnnygreen291978@slingacademy.com,001-923-032-1044x57810,Product,Web Developer,1,6500
Lauren,Thompson,laurenthompson292130@slingacademy.com,+1-691-327-2406x73013,Product,Web Developer,7,9500
Andrea,Wilson,andreawilson293374@slingacademy.com,628-559-3098x06279,Product,Web Developer,7,10500
Stephanie,Vaughn,stephanievaughn294228@slingacademy.com,901.710.4683x57441,Product,Web Developer,12,11000
Michael,Tyler,michaeltyler295140@slingacademy.com,785-352-2310,Product,Web Developer,14,12000
Richard,Lin,richardlin296948@slingacademy.com,471-829-6568,Product,Web Developer,13,13500
Jennifer,Williams,jenniferwilliams297731@slingacademy.com,282.970.3806x592,Product,Web Developer,15,14500
Shane,Hubbard,shanehubbard298449@slingacademy.com,421-623-0945x9287,Product,Web Developer,2,7000
Shawna,Choi,shawnachoi299997@slingacademy.com,(533)756-8696x245,Product,Web Developer,1,7500
Marie,Gross,mariegross300180@slingacademy.com,(634)561-4487x82457,Product,Web Developer,4,9000
Wesley,Leon,wesleyleon301409@slingacademy.com,780.596.2863x992,Product,Web Developer,7,8500
Stephanie,Peterson,stephaniepeterson302370@slingacademy.com,001-509-989-9496x2175,Product,Web Developer,4,7000
Kristin,Webster,kristinwebster303777@slingacademy.com,001-990-293-4626,Product,Web Developer,4,7000
Courtney,Stanley,courtneystanley304370@slingacademy.com,625.311.0983x89652,Product,Web Developer,11,12500
Tracy,Crawford,tracycrawford305774@slingacademy.com,(477)112-0518,Product,Web Developer,4,9000
Danielle,Sparks,daniellesparks306193@slingacademy.com,(670)805-6201x50813,Product,Web Developer,6,9000
Cheryl,Rose,cherylrose307548@slingacademy.com,+1-058-620-9983x70605,Product,Web Developer,3,7500
Kristina,Mann,kristinamann308826@slingacademy.com,718-998-3978,Product,Web Developer,3,8500
Vanessa,Carter,vanessacarter309551@slingacademy.com,(620)811-3763,Product,Web Developer,4,9000
Anthony,Colon,anthonycolon310182@slingacademy.com,001-388-080-7123x3000,Product,Web Developer,6,10000
Aaron,Holland,aaronholland311364@slingacademy.com,001-527-705-3200x648,Product,Web Developer,1,6500
Angela,Anderson,angelaanderson312306@slingacademy.com,(202)724-9857,Product,Web Developer,3,8500
Kelsey,Moss,kelseymoss313608@slingacademy.com,206-016-2029,Product,Web Developer,9,11500
Maureen,Phillips,maureenphillips314700@slingacademy.com,+1-837-401-4253x976,Product,Web Developer,15,13500
Michael,Hooper,michaelhooper315714@slingacademy.com,401.041.6802,Product,Web Developer,8,9000
Stephanie,Lewis,stephanielewis316903@slingacademy.com,+1-584-489-5663x896,Product,Web Developer,15,13500
Kevin,Rodriguez,kevinrodriguez317301@slingacademy.com,001-511-226-4416x83410,Product,Web Developer,3,6500
Adam,Bell,adambell318709@slingacademy.com,+1-426-702-6363x565,Product,Web Developer,11,10500
Courtney,Mcdaniel,courtneymcdaniel319582@slingacademy.com,(871)098-2647x80448,Product,Web Developer,12,12000
